,Sku_id,Sku_code,Dc_name,Dc_code,Wrh,Warehouse_name,Sku_name,rate,Forecast_box,SS,Stock,Suggestion_qty,Update_time,Account_date
91,3014244,43155,杭州配送中心,001,001,杭州配送中心,那么大杨梅218g,1,136,136.0,162.0,224.0,2020-01-02 10:29:20,2020-01-02
92,3016420,40137,杭州配送中心,001,001,杭州配送中心,认养一头牛常温酸奶,1,36,96.72852817687917,7602.0,0.0,2020-01-02 10:29:20,2020-01-02
93,3027943,11620,杭州配送中心,001,001,杭州配送中心,带叶鲜橙（小）,1,17,17.0,300.0,0.0,2020-01-02 10:29:20,2020-01-02
94,3015860,43080,杭州配送中心,001,001,杭州配送中心,流心柿,1,1271,1271.0,1155.0,2248.0,2020-01-02 10:29:20,2020-01-02
95,3000162,07290,杭州配送中心,001,001,杭州配送中心,银火龙果,1,1903,1903.0,87.0,4392.0,2020-01-02 10:29:20,2020-01-02
96,3028482,11840,杭州配送中心,001,001,杭州配送中心,水果彩椒,1,1,1.0,0.0,3.0,2020-01-02 10:29:20,2020-01-02
97,3006117,65590,杭州配送中心,001,001,杭州配送中心,黄金猕猴桃（箱）,1,261,291.4484587051931,2598.0,0.0,2020-01-02 10:29:20,2020-01-02
98,3000168,07300,杭州配送中心,001,001,杭州配送中心,蜜宝红心火龙果,1,234,234.0,237.0,575.0,2020-01-02 10:29:20,2020-01-02
99,3015731,40135,杭州配送中心,001,001,杭州配送中心,认养一头牛纯奶,1,90,101.53595924798348,169.0,232.0,2020-01-02 10:29:20,2020-01-02
100,3005131,07390,杭州配送中心,001,001,杭州配送中心,黄金车厘子,1,75,83.77423499489322,36.0,316.0,2020-01-02 10:29:20,2020-01-02
101,3025843,10500,杭州配送中心,001,001,杭州配送中心,进口柠檬（个）,1,4,4.0,84.0,0.0,2020-01-02 10:29:20,2020-01-02
102,3022564,43490,杭州配送中心,001,001,杭州配送中心,芙蓉李条,1,3,3.0,77.0,0.0,2020-01-02 10:29:20,2020-01-02
103,3028302,11810,杭州配送中心,001,001,杭州配送中心,匠心橙礼盒,1,7,7.0,677.0,0.0,2020-01-02 10:29:20,2020-01-02
104,3017700,43170,杭州配送中心,001,001,杭州配送中心,每日坚果,1,687,687.0,1758.0,366.0,2020-01-02 10:29:20,2020-01-02
105,3027969,11690,杭州配送中心,001,001,杭州配送中心,甄选山竹,1,3,3.0,7.0,9.0,2020-01-02 10:29:20,2020-01-02
106,3027944,11630,杭州配送中心,001,001,杭州配送中心,带叶鲜橙（大）,1,27,27.0,377.0,0.0,2020-01-02 10:29:20,2020-01-02
107,3024246,67206,杭州配送中心,001,001,杭州配送中心,山楂吃光光,1,6,6.0,378.0,0.0,2020-01-02 10:29:20,2020-01-02
108,3000047,06740,杭州配送中心,001,001,杭州配送中心,澳洲油桃,1,455,455.0,94.0,1230.0,2020-01-02 10:29:20,2020-01-02
109,3027923,11580,杭州配送中心,001,001,杭州配送中心,满山红富士（小）,1,7,7.0,728.0,0.0,2020-01-02 10:29:20,2020-01-02
110,3021082,12630,杭州配送中心,001,001,杭州配送中心,人参果,1,284,284.0,168.0,840.0,2020-01-02 10:29:20,2020-01-02
111,3015961,14190,杭州配送中心,001,001,杭州配送中心,青玉香芒,1,1185,1185.0,197.0,2910.0,2020-01-02 10:29:20,2020-01-02
112,3017760,43360,杭州配送中心,001,001,杭州配送中心,东北开口松子,1,4,6.207303137828695,1422.0,0.0,2020-01-02 10:29:20,2020-01-02
113,3024344,40387,杭州配送中心,001,001,杭州配送中心,袋装椰汁5包装,1,5,5.0,1.0,15.0,2020-01-02 10:29:20,2020-01-02
114,3019240,12390,杭州配送中心,001,001,杭州配送中心,红龙杨桃,1,12,12.0,21.0,9.0,2020-01-02 10:29:20,2020-01-02
115,3005446,16040,杭州配送中心,001,001,杭州配送中心,进口蕉,1,23141,0.0,147.0,3209.0,2020-01-02 10:29:20,2020-01-02
116,3019547,43410,杭州配送中心,001,001,杭州配送中心,那么大西梅,1,4,4.0,125.0,0.0,2020-01-02 10:29:20,2020-01-02
117,3013455,07540,杭州配送中心,001,001,杭州配送中心,优选泰国桂圆,1,5,189.47963112758296,179.0,217.0,2020-01-02 10:29:20,2020-01-02
118,3027965,11650,杭州配送中心,001,001,杭州配送中心,优选香梨,1,4,4.0,943.0,0.0,2020-01-02 10:29:20,2020-01-02
119,3028484,11860,杭州配送中心,001,001,杭州配送中心,水果胡萝卜136g,1,1,1.0,0.0,4.0,2020-01-02 10:29:20,2020-01-02
120,3006692,07940,杭州配送中心,001,001,杭州配送中心,王林苹果,1,108,108.0,1698.0,0.0,2020-01-02 10:29:20,2020-01-02
121,3006241,13050,杭州配送中心,001,001,杭州配送中心,落地碎香梨,1,260,260.0,274.0,690.0,2020-01-02 10:29:20,2020-01-02
