Account_date,forecast,wh_name,wh_code,sku_code,sku_name,sales_qty,MAE,MAPE,RMSPE
2020-03-15,1096.0,杭州配送中心,001,07350,泰国椰青,4184.482199999985,3088.482199999985,0.10543998558702014,1167.3365471213729
2020-03-16,1170.0,杭州配送中心,001,07350,泰国椰青,2732.1231999999936,1562.1231999999936,0.08168023211502935,590.4270720634853
2020-03-17,1381.0,杭州配送中心,001,07350,泰国椰青,2795.509999999997,1414.509999999997,0.07228479137719304,534.6345267162809
2020-03-11,2.0,杭州配送中心,001,07390,黄金车厘子,6.97,4.97,0.1018651362984218,1.8784834308558593
2020-03-12,2.0,杭州配送中心,001,07390,黄金车厘子,6.14,4.14,0.09632387156817124,1.5647729182582006
2020-03-13,2.0,杭州配送中心,001,07390,黄金车厘子,3.08,1.08,0.05009276437847866,0.4082016308499654
2020-03-14,2.0,杭州配送中心,001,07390,黄金车厘子,1.7000000000000002,0.2999999999999998,0.02521008403361343,0.1133893419027681
2020-03-15,2.0,杭州配送中心,001,07390,黄金车厘子,2.68,0.6800000000000002,0.03624733475479745,0.25701584164627456
2020-03-16,2.0,杭州配送中心,001,07390,黄金车厘子,3.48,1.48,0.06075533661740558,0.5593874200536563
2020-03-17,3.0,杭州配送中心,001,07390,黄金车厘子,0.54,2.46,0.6507936507936508,0.929792603602699
2020-03-11,178.0,杭州配送中心,001,07420,泰国山竹,186.60400000000004,8.604000000000042,0.006586905195723901,3.252006325771407
2020-03-12,182.0,杭州配送中心,001,07420,泰国山竹,181.62399999999994,0.3760000000000616,0.00029574442647609643,0.14211464185149272
2020-03-13,172.0,杭州配送中心,001,07420,泰国山竹,173.97,1.9699999999999989,0.0016176844940424858,0.7445900118281772
2020-03-14,165.0,杭州配送中心,001,07420,泰国山竹,153.07399999999993,11.926000000000073,0.011130004348970412,4.507604305108072
2020-03-15,180.0,杭州配送中心,001,07420,泰国山竹,173.63800000000003,6.361999999999966,0.005234206468959202,2.4046099772846907
2020-03-16,171.0,杭州配送中心,001,07420,泰国山竹,132.43800000000002,38.56199999999998,0.0415957439923371,14.575066008181814
2020-03-17,154.0,杭州配送中心,001,07420,泰国山竹,155.43800000000002,1.4380000000000166,0.0013216110052147723,0.543512912187275
2020-03-11,119.0,杭州配送中心,001,07430,猫山王榴莲,52.26999999999999,66.73000000000002,0.18237721719642525,25.22156928390574
2020-03-12,133.0,杭州配送中心,001,07430,猫山王榴莲,57.46,75.53999999999999,0.18780766744567648,28.55143629111702
2020-03-13,145.0,杭州配送中心,001,07430,猫山王榴莲,55.63,89.37,0.22950104003492464,33.77868495283464
2020-03-14,121.0,杭州配送中心,001,07430,猫山王榴莲,62.19800000000001,58.80199999999999,0.13505716766271764,22.225066941888578
2020-03-15,141.0,杭州配送中心,001,07430,猫山王榴莲,115.578,25.421999999999997,0.03142219354647325,9.608612832840572
2020-03-16,122.0,杭州配送中心,001,07430,猫山王榴莲,65.096,56.903999999999996,0.12487929914499903,21.507690372117064
2020-03-17,122.0,杭州配送中心,001,07430,猫山王榴莲,25.612000000000002,96.388,0.5376274514178622,36.431239624413394
2020-03-11,8.0,杭州配送中心,001,07440,雪莲果,12.030000000000001,4.030000000000001,0.04785654910343191,1.5231968262271862
2020-03-12,8.0,杭州配送中心,001,07440,雪莲果,6.99,1.0099999999999998,0.020641733088085014,0.38174411773931943
2020-03-13,8.0,杭州配送中心,001,07440,雪莲果,1.87,6.13,0.46829640947288004,2.316922219546563
2020-03-14,8.0,杭州配送中心,001,07440,雪莲果,7.92,0.08000000000000007,0.0014430014430014443,0.030237157840738205
2020-03-15,9.0,杭州配送中心,001,07440,雪莲果,9.059999999999999,0.05999999999999872,0.0009460737937558929,0.02267786838055315
2020-03-16,8.0,杭州配送中心,001,07440,雪莲果,10.04,2.039999999999999,0.02902675014228798,0.7710475249388232
2020-03-17,7.0,杭州配送中心,001,07440,雪莲果,4.220000000000001,2.7799999999999994,0.09410968178740686,1.0507412349656515
