,goods,value,all_profit,all_profit_total,all_sales_price,discount_rate
63,"['【进口】香蕉-500~550g/份', '泰国桂圆-约250-300g/份', '红心猕猴桃-1盒5只']",44.400000000000006,"[5.8074074074074105, 6.700000000000001, 14.0]",26.507407407407413,"[9.8, 11.8, 22.8]","[1, 1, 1]"
64,"['【进口】香蕉-500~550g/份', '泰国桂圆-约250-300g/份', '鲜丰玉麒麟西瓜-半只约4-5斤']",54.4,"[5.8074074074074105, 6.700000000000001, 17.799999999999997]",30.30740740740741,"[9.8, 11.8, 32.8]","[1, 1, 1]"
65,"['【进口】香蕉-500~550g/份', '泰国桂圆-约250-300g/份', '新疆蜜瓜-半只3-3.5斤']",50.400000000000006,"[5.8074074074074105, 6.700000000000001, 18.3]",30.80740740740741,"[9.8, 11.8, 28.8]","[1, 1, 1]"
66,"['【进口】香蕉-500~550g/份', '泰国桂圆-约250-300g/份', '【进口】菲律宾凤梨-1.8-1.9kg/只']",60.4,"[5.8074074074074105, 6.700000000000001, 19.799999999999997]",32.30740740740741,"[9.8, 11.8, 38.8]","[1, 1, 1]"
67,"['【进口】香蕉-500~550g/份', '云南蜜桔子-450-500g', '【进口】越南白火龙果-450-500g/只']",35.400000000000006,"[5.8074074074074105, 7.300000000000001, 6.44]",19.547407407407412,"[9.8, 12.8, 12.8]","[1, 1, 1]"
69,"['【进口】香蕉-500~550g/份', '云南蜜桔子-450-500g', '凯特芒芒果-1只700-800g']",48.400000000000006,"[5.8074074074074105, 7.300000000000001, 16.200000000000003]",29.307407407407414,"[9.8, 12.8, 25.8]","[1, 1, 1]"
70,"['【进口】香蕉-500~550g/份', '云南蜜桔子-450-500g', '红心猕猴桃-1盒5只']",45.400000000000006,"[5.8074074074074105, 7.300000000000001, 14.0]",27.10740740740741,"[9.8, 12.8, 22.8]","[1, 1, 1]"
71,"['【进口】香蕉-500~550g/份', '云南蜜桔子-450-500g', '鲜丰玉麒麟西瓜-半只约4-5斤']",55.4,"[5.8074074074074105, 7.300000000000001, 17.799999999999997]",30.90740740740741,"[9.8, 12.8, 32.8]","[1, 1, 1]"
72,"['【进口】香蕉-500~550g/份', '云南蜜桔子-450-500g', '新疆蜜瓜-半只3-3.5斤']",51.400000000000006,"[5.8074074074074105, 7.300000000000001, 18.3]",31.407407407407412,"[9.8, 12.8, 28.8]","[1, 1, 1]"
73,"['【进口】香蕉-500~550g/份', '云南蜜桔子-450-500g', '【进口】菲律宾凤梨-1.8-1.9kg/只']",61.4,"[5.8074074074074105, 7.300000000000001, 19.799999999999997]",32.907407407407405,"[9.8, 12.8, 38.8]","[1, 1, 1]"
85,"['【进口】香蕉-500~550g/份', '凯特芒芒果-1只700-800g', '红心猕猴桃-1盒5只']",58.400000000000006,"[5.8074074074074105, 16.200000000000003, 14.0]",36.00740740740741,"[9.8, 25.8, 22.8]","[1, 1, 1]"
86,"['【进口】香蕉-500~550g/份', '凯特芒芒果-1只700-800g', '鲜丰玉麒麟西瓜-半只约4-5斤']",68.4,"[5.8074074074074105, 16.200000000000003, 17.799999999999997]",39.80740740740741,"[9.8, 25.8, 32.8]","[1, 1, 1]"
87,"['【进口】香蕉-500~550g/份', '凯特芒芒果-1只700-800g', '新疆蜜瓜-半只3-3.5斤']",64.4,"[5.8074074074074105, 16.200000000000003, 18.3]",40.30740740740741,"[9.8, 25.8, 28.8]","[1, 1, 1]"
88,"['【进口】香蕉-500~550g/份', '凯特芒芒果-1只700-800g', '【进口】菲律宾凤梨-1.8-1.9kg/只']",74.4,"[5.8074074074074105, 16.200000000000003, 19.799999999999997]",41.80740740740741,"[9.8, 25.8, 38.8]","[1, 1, 1]"
89,"['【进口】香蕉-500~550g/份', '红心猕猴桃-1盒5只', '鲜丰玉麒麟西瓜-半只约4-5斤']",65.4,"[5.8074074074074105, 14.0, 17.799999999999997]",37.60740740740741,"[9.8, 22.8, 32.8]","[1, 1, 1]"
90,"['【进口】香蕉-500~550g/份', '红心猕猴桃-1盒5只', '新疆蜜瓜-半只3-3.5斤']",61.400000000000006,"[5.8074074074074105, 14.0, 18.3]",38.10740740740741,"[9.8, 22.8, 28.8]","[1, 1, 1]"
91,"['【进口】香蕉-500~550g/份', '红心猕猴桃-1盒5只', '【进口】菲律宾凤梨-1.8-1.9kg/只']",71.4,"[5.8074074074074105, 14.0, 19.799999999999997]",39.60740740740741,"[9.8, 22.8, 38.8]","[1, 1, 1]"
