,当前组合商品名称,总毛利,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,毛利排名,该组合下客户最终的订单金额
133,百香果-2只/份,20.494712,16.5714%,35.8,5.799999999999999,0.830508474576271,45.0,44.184712000000005
134,【杨果铺】嘴强大脑奶香核桃-1包500g,20.494712,240.0000%,7.6,16.800000000000004,0.916201117318436,45.0,44.184712000000005
135,【真的超甜】黄蒂柑橘子1个,20.494712,94.1667%,6.6,5.6499999999999995,1.0,45.0,44.184712000000005
136,【满山红】红富士苹果75#-约1斤,17.564712000000004,-40.8191%,11.8,-4.4901,0.0015,46.0,43.304712
137,百香果-2只/份,17.564712000000004,16.5714%,35.8,5.799999999999999,0.830508474576271,46.0,43.304712
138,【杨果铺】嘴强大脑奶香核桃-1包500g,17.564712000000004,280.0000%,6.6,16.800000000000004,0.916201117318436,46.0,43.304712
139,【皮薄水润】东江湖蜜桔子-450-500g,17.564712000000004,43.3333%,6.6,2.5999999999999996,1.0,46.0,43.304712
140,【满山红】红富士苹果75#-约1斤,10.202711999999998,-40.8191%,11.8,-4.4901,0.0015,47.0,21.392711999999996
141,百香果-2只/份,10.202711999999998,96.6667%,6.9,5.799999999999999,0.830508474576271,47.0,21.392711999999996
142,【脆甜】冰糖冬枣-约半斤,10.202711999999998,48.5714%,7.6,3.4000000000000004,1.0,47.0,21.392711999999996
143,【真的超甜】黄蒂柑橘子1个,10.202711999999998,94.1667%,6.6,5.6499999999999995,1.0,47.0,21.392711999999996
144,【满山红】红富士苹果75#-约1斤,7.272711999999999,-40.8191%,11.8,-4.4901,0.0015,48.0,20.512711999999997
145,百香果-2只/份,7.272711999999999,96.6667%,6.9,5.799999999999999,0.830508474576271,48.0,20.512711999999997
146,【脆甜】冰糖冬枣-约半斤,7.272711999999999,56.6667%,6.6,3.4000000000000004,1.0,48.0,20.512711999999997
147,【皮薄水润】东江湖蜜桔子-450-500g,7.272711999999999,43.3333%,6.6,2.5999999999999996,1.0,48.0,20.512711999999997
148,【满山红】红富士苹果75#-约1斤,9.438711999999999,-40.8191%,11.8,-4.4901,0.0015,49.0,21.128712
149,百香果-2只/份,9.438711999999999,82.8571%,7.6,5.799999999999999,0.830508474576271,49.0,21.128712
150,【真的超甜】黄蒂柑橘子1个,9.438711999999999,94.1667%,6.6,5.6499999999999995,1.0,49.0,21.128712
151,【皮薄水润】东江湖蜜桔子-450-500g,9.438711999999999,43.3333%,6.6,2.5999999999999996,1.0,49.0,21.128712
152,【满山红】红富士苹果75#-约1斤,11.760712000000007,-20.4095%,22.8,-4.4901,0.0015,50.0,29.400712000000006
153,【甜蜜现剥】菠萝蜜-约250-300g,11.760712000000007,147.1429%,7.8,10.3,0.868421052631579,50.0,29.400712000000006
154,【菲律宾】进口香蕉-约450~500g/份,11.760712000000007,35.7143%,7.5,2.5000000000000018,0.871794871794872,50.0,29.400712000000006
155,菲诺纯椰汁-约180ml/袋,11.760712000000007,78.3333%,6.6,4.700000000000003,0.906666666666667,50.0,29.400712000000006
156,【满山红】红富士苹果75#-约1斤,20.74071200000001,-20.4095%,22.8,-4.4901,0.0015,51.0,52.28071200000001
157,【甜蜜现剥】菠萝蜜-约250-300g,20.74071200000001,147.1429%,7.8,10.3,0.868421052631579,51.0,52.28071200000001
158,【菲律宾】进口香蕉-约450~500g/份,20.74071200000001,7.1429%,35.8,2.5000000000000018,0.871794871794872,51.0,52.28071200000001
159,【杨果铺】嘴强大脑奶香核桃-1包500g,20.74071200000001,280.0000%,6.6,16.800000000000004,0.916201117318436,51.0,52.28071200000001
160,【满山红】红富士苹果75#-约1斤,10.448712000000002,-20.4095%,22.8,-4.4901,0.0015,52.0,29.488712000000003
161,【甜蜜现剥】菠萝蜜-约250-300g,10.448712000000002,147.1429%,7.8,10.3,0.868421052631579,52.0,29.488712000000003
