,当前组合商品名称,总毛利,总毛利率,每款商品对应的毛利率,每款商品的原始售价,每款商品的折扣毛利,每款商品的折扣率,每款商品的活动价,毛利排名,该组合下客户最终的订单金额
88,佳沛阳光金果36#,20.794,14.2743%,5.83%,49.0,5.080000000000002,1.0,4.9,167.0,145.674
89,沙洲绿宝瓜1只-约3斤,20.530760000000004,18.5077%,-8.69%,69.0,-9.6,0.1,69.0,168.0,110.93076
90,优选车厘子XL-1斤,20.530760000000004,18.5077%,47.40%,29.8,22.0,1.0,29.8,168.0,110.93076
91,花生糖/芝麻粮任选1包(500g),20.530760000000004,18.5077%,34.52%,21.4564,11.600000000000001,1.0,21.4564,168.0,110.93076
92,凯特芒青1个-约700g,20.530760000000004,18.5077%,18.45%,30.0,8.856399999999999,1.0,3.0,168.0,110.93076
93,酥极红薯片5包,20.43,17.7760%,-18.82%,69.0,-21.1,0.1,69.0,169.0,114.93
94,优选车厘子XL-1斤,20.43,17.7760%,48.35%,28.5,22.0,1.0,28.5,169.0,114.93
95,网纹瓜1只约3斤,20.43,17.7760%,33.23%,25.3,13.5,1.0,25.3,169.0,114.93
96,红肉菠萝蜜1斤,20.43,17.7760%,23.61%,49.0,18.8,1.0,4.9,169.0,114.93
97,奶油草莓,20.410000000000007,17.7309%,-17.11%,69.0,-19.2,0.1,69.0,170.0,115.11
98,优选车厘子XL-1斤,20.410000000000007,17.7309%,46.64%,29.8,22.0,1.0,29.8,170.0,115.11
99,花生糖/芝麻粮任选1包(500g),20.410000000000007,17.7309%,28.52%,25.3,11.600000000000001,1.0,25.3,170.0,115.11
100,红肉菠萝蜜1斤,20.410000000000007,17.7309%,30.41%,38.0,18.8,1.0,3.8000000000000003,170.0,115.11
101,阳光玫瑰葡萄1份-约500g,20.134759999999996,12.1576%,-11.16%,133.0,-28.4,0.1,133.0,171.0,165.61476000000002
102,甄选车厘子（JJ）-1斤,20.134759999999996,12.1576%,120.40%,23.96,53.0,1.0,23.96,171.0,165.61476000000002
103,佳沛阳光金果36#,20.134759999999996,12.1576%,12.64%,21.4564,5.080000000000002,1.0,21.4564,171.0,165.61476000000002
104,凯特芒青1个-约700g,20.134759999999996,12.1576%,8.26%,56.0,8.856399999999999,1.0,5.6000000000000005,171.0,165.61476000000002
105,奶油草莓,20.119999999999997,16.3418%,-8.59%,133.0,-19.2,0.1,133.0,172.0,123.12000000000002
106,甄选车厘子（JJ）-1斤,20.119999999999997,16.3418%,83.02%,38.0,53.0,1.0,3.8000000000000003,172.0,123.12000000000002
107,网纹瓜1只约3斤,20.04476,30.1313%,35.22%,28.5,13.5,1.0,28.5,173.0,66.52476
108,佳沛阳光金果36#,20.04476,30.1313%,16.14%,23.96,5.080000000000002,1.0,23.96,173.0,66.52476
109,凯特芒青1个-约700g,20.04476,30.1313%,30.81%,21.4564,8.856399999999999,1.0,21.4564,173.0,66.52476
110,沙洲绿宝瓜1只-约3斤,19.703999999999997,27.1091%,-24.32%,28.5,-9.6,0.1,28.5,174.0,72.684
111,网纹瓜1只约3斤,19.703999999999997,27.1091%,38.30%,25.3,13.5,1.0,25.3,174.0,72.684
112,红肉菠萝蜜1斤,19.703999999999997,27.1091%,57.98%,23.96,18.8,1.0,23.96,174.0,72.684
113,佳沛阳光金果36#,19.703999999999997,27.1091%,12.01%,30.0,5.080000000000002,1.0,3.0,174.0,72.684
