,Sku_id,Code,Price,Gross_profit_rate,Dc_name,Dc_code,Munit,Wrh,Warehouse_name,Sku_name,Account_date,Forecast_qty,Update_time,rate
67,3024782,67260,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,佳沛有机金果,2019-11-25,99,2019-11-21,30
68,3024782,67260,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,佳沛有机金果,2019-11-26,175,2019-11-21,30
69,3024782,67260,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,佳沛有机金果,2019-11-27,127,2019-11-21,30
70,3025843,10500,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,进口柠檬（个）,2019-11-21,213,2019-11-21,140
71,3025843,10500,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,进口柠檬（个）,2019-11-22,214,2019-11-21,140
72,3025843,10500,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,进口柠檬（个）,2019-11-23,260,2019-11-21,140
73,3025843,10500,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,进口柠檬（个）,2019-11-24,249,2019-11-21,140
74,3025843,10500,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,进口柠檬（个）,2019-11-25,183,2019-11-21,140
75,3025843,10500,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,进口柠檬（个）,2019-11-26,161,2019-11-21,140
76,3025843,10500,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,进口柠檬（个）,2019-11-27,175,2019-11-21,140
77,3012586,01100,33,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,金手指,2019-11-21,13,2019-11-21,18
78,3012586,01100,33,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,金手指,2019-11-22,13,2019-11-21,18
79,3012586,01100,33,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,金手指,2019-11-23,12,2019-11-21,18
80,3012586,01100,33,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,金手指,2019-11-24,12,2019-11-21,18
81,3012586,01100,33,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,金手指,2019-11-25,9,2019-11-21,18
82,3012586,01100,33,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,金手指,2019-11-26,11,2019-11-21,18
83,3012586,01100,33,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,金手指,2019-11-27,10,2019-11-21,18
84,3004051,06080,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,特价伽俐果,2019-11-21,1,2019-11-21,36
85,3004051,06080,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,特价伽俐果,2019-11-22,1,2019-11-21,36
86,3004051,06080,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,特价伽俐果,2019-11-23,2,2019-11-21,36
87,3004051,06080,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,特价伽俐果,2019-11-24,1,2019-11-21,36
88,3004051,06080,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,特价伽俐果,2019-11-25,1,2019-11-21,36
89,3004051,06080,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,特价伽俐果,2019-11-26,1,2019-11-21,36
90,3004051,06080,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,特价伽俐果,2019-11-27,1,2019-11-21,36
91,3003592,06010,7,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,伽俐果(叫货),2019-11-21,362,2019-11-21,36
92,3003592,06010,7,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,伽俐果(叫货),2019-11-22,342,2019-11-21,36
93,3003592,06010,7,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,伽俐果(叫货),2019-11-23,614,2019-11-21,36
94,3003592,06010,7,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,伽俐果(叫货),2019-11-24,762,2019-11-21,36
95,3003592,06010,7,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,伽俐果(叫货),2019-11-25,557,2019-11-21,36
96,3003592,06010,7,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,伽俐果(叫货),2019-11-26,328,2019-11-21,36
97,3003592,06010,7,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,伽俐果(叫货),2019-11-27,270,2019-11-21,36
98,3026842,10900,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选红富士,2019-11-21,2,2019-11-21,26
99,3026842,10900,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选红富士,2019-11-22,1,2019-11-21,26
100,3026842,10900,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选红富士,2019-11-23,15,2019-11-21,26
101,3026842,10900,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选红富士,2019-11-24,1,2019-11-21,26
102,3026842,10900,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选红富士,2019-11-25,1,2019-11-21,26
103,3026842,10900,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选红富士,2019-11-26,1,2019-11-21,26
104,3026842,10900,3,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选红富士,2019-11-27,1,2019-11-21,26
105,3005943,07600,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,菲律宾凤梨(叫货),2019-11-21,2471,2019-11-21,27
106,3005943,07600,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,菲律宾凤梨(叫货),2019-11-22,2914,2019-11-21,27
107,3005943,07600,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,菲律宾凤梨(叫货),2019-11-23,3865,2019-11-21,27
108,3005943,07600,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,菲律宾凤梨(叫货),2019-11-24,3657,2019-11-21,27
109,3005943,07600,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,菲律宾凤梨(叫货),2019-11-25,1671,2019-11-21,27
110,3005943,07600,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,菲律宾凤梨(叫货),2019-11-26,2263,2019-11-21,27
111,3005943,07600,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,菲律宾凤梨(叫货),2019-11-27,1665,2019-11-21,27
112,3005637,07190,34,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑了好吃牛油果(叫货),2019-11-21,351,2019-11-21,22
113,3005637,07190,34,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑了好吃牛油果(叫货),2019-11-22,385,2019-11-21,22
114,3005637,07190,34,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑了好吃牛油果(叫货),2019-11-23,442,2019-11-21,22
115,3005637,07190,34,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑了好吃牛油果(叫货),2019-11-24,422,2019-11-21,22
116,3005637,07190,34,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑了好吃牛油果(叫货),2019-11-25,364,2019-11-21,22
117,3005637,07190,34,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑了好吃牛油果(叫货),2019-11-26,382,2019-11-21,22
118,3005637,07190,34,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑了好吃牛油果(叫货),2019-11-27,340,2019-11-21,22
119,3021122,30260,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,红肉菠萝蜜（中果）,2019-11-21,1,2019-11-21,1
120,3021122,30260,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,红肉菠萝蜜（中果）,2019-11-22,1,2019-11-21,1
121,3021122,30260,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,红肉菠萝蜜（中果）,2019-11-23,2,2019-11-21,1
122,3021122,30260,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,红肉菠萝蜜（中果）,2019-11-24,1,2019-11-21,1
123,3021122,30260,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,红肉菠萝蜜（中果）,2019-11-25,1,2019-11-21,1
124,3021122,30260,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,红肉菠萝蜜（中果）,2019-11-26,1,2019-11-21,1
125,3021122,30260,0,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,红肉菠萝蜜（中果）,2019-11-27,2,2019-11-21,1
126,3006683,12050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,小黄瓜(叫货),2019-11-21,1021,2019-11-21,10
127,3006683,12050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,小黄瓜(叫货),2019-11-22,1009,2019-11-21,10
128,3006683,12050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,小黄瓜(叫货),2019-11-23,998,2019-11-21,10
129,3006683,12050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,小黄瓜(叫货),2019-11-24,1223,2019-11-21,10
130,3006683,12050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,小黄瓜(叫货),2019-11-25,780,2019-11-21,10
131,3006683,12050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,小黄瓜(叫货),2019-11-26,919,2019-11-21,10
132,3006683,12050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,小黄瓜(叫货),2019-11-27,948,2019-11-21,10
133,3004250,11050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑布林(叫货),2019-11-21,91,2019-11-21,24
134,3004250,11050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑布林(叫货),2019-11-22,165,2019-11-21,24
135,3004250,11050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑布林(叫货),2019-11-23,117,2019-11-21,24
136,3004250,11050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑布林(叫货),2019-11-24,73,2019-11-21,24
137,3004250,11050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑布林(叫货),2019-11-25,41,2019-11-21,24
138,3004250,11050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑布林(叫货),2019-11-26,23,2019-11-21,24
139,3004250,11050,4,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,黑布林(叫货),2019-11-27,41,2019-11-21,24
140,3014345,08870,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选蜜桔,2019-11-21,23,2019-11-21,35
141,3014345,08870,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选蜜桔,2019-11-22,22,2019-11-21,35
142,3014345,08870,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选蜜桔,2019-11-23,78,2019-11-21,35
143,3014345,08870,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选蜜桔,2019-11-24,66,2019-11-21,35
144,3014345,08870,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选蜜桔,2019-11-25,21,2019-11-21,35
145,3014345,08870,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选蜜桔,2019-11-26,38,2019-11-21,35
146,3014345,08870,2,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,优选蜜桔,2019-11-27,3,2019-11-21,35
147,3022804,66830,8,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,皇家伽俐果,2019-11-21,1,2019-11-21,36
148,3022804,66830,8,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,皇家伽俐果,2019-11-22,1,2019-11-21,36
149,3022804,66830,8,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,皇家伽俐果,2019-11-23,2,2019-11-21,36
150,3022804,66830,8,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,皇家伽俐果,2019-11-24,2,2019-11-21,36
151,3022804,66830,8,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,皇家伽俐果,2019-11-25,1,2019-11-21,36
152,3022804,66830,8,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,皇家伽俐果,2019-11-26,1,2019-11-21,36
153,3022804,66830,8,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,皇家伽俐果,2019-11-27,1,2019-11-21,36
154,3003586,06510,8,-1,杭州配送中心,1000255,箱,1000008,杭州配送中心商品仓,泰国金柚(叫货),2019-11-21,10,2019-11-21,31
