,goods,value,all_profit,all_profit_total,all_sales_price,discount_rate,profit_rate
351788,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '菲诺纯椰汁-约180ml/袋', '那么大西梅-约228g/罐']",37.77,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 5.699999999999999, 10.8]",17.47,"[3.8, 7.8, 7.8, 3.8, 7.8, 22.8]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.6125356125356125, 0.8723196881091616]","['-42.9630%', '11.1111%', '38.2540%', '83.3333%', '81.4286%', '49.0909%']"
351795,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '砀山酥梨-2只约550-600g', '【鲜果切】西瓜鲜果切-约2斤']",34.26,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 5.3, 16.799999999999997]",23.459999999999997,"[3.8, 7.8, 7.8, 3.8, 6.8, 19.9]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.8660130718954248, 0.843104410943607]","['-42.9630%', '11.1111%', '38.2540%', '83.3333%', '88.3333%', '88.4211%']"
351800,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '砀山酥梨-2只约550-600g', '佳沛阳光金果36#-4只']",46.77,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 5.3, 29.4]",34.669999999999995,"[3.8, 7.8, 7.8, 3.8, 6.8, 33.8]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.8660130718954248, 0.8809993425378042]","['-42.9630%', '11.1111%', '38.2540%', '83.3333%', '88.3333%', '89.0909%']"
351802,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '砀山酥梨-2只约550-600g', '【新鲜直达】A级进口车厘子-约250g']",56.67,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 5.3, -5.200000000000003]",-6.530000000000003,"[3.8, 7.8, 7.8, 3.8, 6.8, 49.8]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.8660130718954248, 0.959393128067827]","['-75.8596%', '19.6189%', '67.5449%', '147.1414%', '155.9699%', '-18.7380%']"
351865,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '阳光丑蜜梨-2只约600-650g', '【需解冻】冷冻榴莲肉（有核）-约300g/盒42.8']",66.57000000000001,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 7.800000000000001, 30.999999999999996]",31.069999999999997,"[3.8, 7.8, 7.8, 3.8, 10.8, 56.8]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.7201646090534979, 0.8059467918622849]","['-36.0491%', '9.3230%', '32.0979%', '69.9228%', '65.4477%', '46.4487%']"
351866,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '阳光丑蜜梨-2只约600-650g', '【新鲜直达】A级进口车厘子-约250g']",60.27,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 7.800000000000001, -5.200000000000003]",-4.4300000000000015,"[3.8, 7.8, 7.8, 3.8, 10.8, 49.8]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.7201646090534979, 0.959393128067827]","['-91.4539%', '23.6519%', '81.4300%', '177.3890%', '166.0361%', '-22.5899%']"
351871,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '冰糖冬枣-约250g', '越南酸奶百香果味-400g/4小杯']",35.07,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 2.8000000000000007, 8.47]",12.540000000000001,"[3.8, 7.8, 7.8, 3.8, 10.8, 16.8]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.7201646090534979, 0.8796296296296297]","['-42.9630%', '11.1111%', '38.2540%', '83.3333%', '28.0000%', '52.9375%']"
351882,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '冰糖冬枣-约250g', '佳沛阳光金果36#-4只']",45.870000000000005,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 2.8000000000000007, 29.4]",26.770000000000003,"[3.8, 7.8, 7.8, 3.8, 10.8, 33.8]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.7201646090534979, 0.8809993425378042]","['-34.9385%', '9.0358%', '31.1090%', '67.7686%', '22.7703%', '72.4508%']"
352031,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '【杨果铺】海带结-1袋192g', '越南酸奶百香果味-400g/4小杯']",36.870000000000005,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 7.000000000000001, 8.47]",16.540000000000003,"[3.8, 7.8, 7.8, 3.8, 12.8, 16.8]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.8420138888888887, 0.8796296296296297]","['-42.9630%', '11.1111%', '38.2540%', '83.3333%', '58.3333%', '52.9375%']"
352044,"['砀山酥梨-1只约300g', '【鲜果切】新疆蜜瓜果切约200g/份', '菲诺纯椰汁-约180ml/袋', '砀山酥梨-1只约300g', '【杨果铺】海带结-1袋192g', '【新鲜直达】A级进口车厘子-约250g']",62.07,"[-1.288888888888889, 0.7777777777777777, 2.6777777777777776, 2.5, 7.000000000000001, -5.200000000000003]",-5.430000000000001,"[3.8, 7.8, 7.8, 3.8, 12.8, 49.8]","[0.0029239766081871348, 0.3561253561253561, 0.6125356125356125, 0.0029239766081871348, 0.8420138888888887, 0.959393128067827]","['-82.5237%', '21.3423%', '73.4786%', '160.0675%', '112.0473%', '-20.3841%']"
